Nome da Peça,Sinal,Resultado,Quilometragem,Condições de Uso
Motor,fumaça,Superaquecimento do motor,150000,uso urbano
Motor,barulho,Desgaste nos rolamentos do motor,120000,uso misto
Motor,dificuldade de partida,Problemas na bomba de combustível,90000,uso urbano
Motor,vibração,Desbalanceamento do motor,130000,uso em estrada
Motor,ruído de funcionamento,Desgaste das peças internas,110000,uso urbano
Motor,cheiro de queimado,Superaquecimento devido a óleo queimado,140000,uso em estrada
Motor,ruído metálico,Desgaste nas peças do motor,100000,uso misto
Motor,perda de óleo,Vazamento nas juntas do motor,80000,uso urbano
Motor,aceleração irregular,Problemas no sistema de injeção,95000,uso em estrada
Motor,aumento de consumo de combustível,Problemas na calibração do motor,120000,uso urbano
Alternador,luz no painel,Problema de carga elétrica,75000,uso urbano
Alternador,cheiro de queimado,Sobrecarga elétrica,60000,uso misto
Alternador,baixa carga,Alternador com falha,90000,uso em estrada
Alternador,superaquecimento,Superaquecimento do alternador,50000,uso urbano
Alternador,barulho no funcionamento,Desgaste do rotor,85000,uso em estrada
Alternador,ruído estranho,Alternador com falha,70000,uso misto
Alternador,dificuldade na partida,Bateria com problemas,80000,uso urbano
Alternador,ruído ao girar,Desgaste na correia do alternador,65000,uso urbano
Alternador,falha no painel de controle,Painel com problemas elétricos,100000,uso em estrada
Alternador,acendimento intermitente da luz de bateria,Problema intermitente no alternador,120000,uso misto
Amortecedor,ruído ao passar em buracos,Desgaste no amortecedor,60000,uso urbano
Amortecedor,instabilidade na direção,Amortecedor com baixa pressão,75000,uso em estrada
Amortecedor,vibração ao dirigir,Amortecedor com baixa pressão,70000,uso misto
Amortecedor,perda de pressão,Vazamento no amortecedor,80000,uso urbano
Amortecedor,barulho ao rodar,Amortecedor com desgaste,65000,uso em estrada
Amortecedor,ruído em curva,Amortecedor danificado,90000,uso misto
Amortecedor,barulho ao frear,Amortecedor com desgaste,72000,uso urbano
Amortecedor,liquido vazando,Vazamento no amortecedor,50000,uso urbano
Amortecedor,desgaste irregular,Amortecedor danificado,95000,uso em estrada
Amortecedor,instabilidade em curvas,Amortecedor comprometido,100000,uso misto
Bateria,não liga,Bateria descarregada,40000,uso urbano
Bateria,luz fraca no painel,Bateria em estado crítico,45000,uso em estrada
Bateria,barulho ao ligar,Bateria com falha interna,35000,uso misto
Bateria,vazamento de ácido,Bateria danificada,50000,uso urbano
Bateria,vida útil expirada,Bateria precisa ser substituída,60000,uso em estrada
Bateria,queda de tensão,Bateria com carga insuficiente,30000,uso misto
Bateria,não mantém carga,Bateria em estado crítico,70000,uso urbano
Bateria,em curto,Bateria precisa ser substituída,80000,uso em estrada
Bateria,bateria superaquecendo,Problemas no regulador de voltagem,75000,uso misto
Bateria,dificuldade para dar partida,Bateria em estado crítico,85000,uso urbano
Bomba de combustível,falhas ao acelerar,Baixa pressão de combustível,60000,uso urbano
Bomba de combustível,dificuldade de partida,Obstrução no filtro da bomba,55000,uso em estrada
Bomba de combustível,barulho ao ligar,Bomba com defeito,70000,uso misto
Bomba de combustível,fuga de combustível,Vazamento na mangueira,75000,uso urbano
Bomba de combustível,consumo elevado de combustível,Bomba com falha,80000,uso em estrada
Bomba de combustível,som de vibração,Bomba desalinhada,65000,uso misto
Bomba de combustível,sinal de falha,Problemas na válvula de combustível,72000,uso urbano
Bomba de combustível,som de borbulhamento,Bomba com ar na linha de combustível,78000,uso em estrada
Bomba de combustível,dificuldade em manter a velocidade,Bomba com defeito,82000,uso urbano
Bomba de combustível,mau cheiro de combustível,Vazamento na bomba de combustível,79000,uso urbano
Bomba de água,superaquecimento,Falha na circulação do líquido,85000,uso em estrada
Bomba de água,vazamento,Vazamento na bomba,88000,uso misto
Bomba de água,ruído ao funcionar,Falha na circulação do líquido,87000,uso urbano
Bomba de água,barulho,Desgaste nas peças internas,86000,uso em estrada
Bomba de água,dificuldade de partida,Problemas na bomba de água,90000,uso misto
Bomba de água,queimadura de óleo,Falha na vedação,92000,uso urbano
Bomba de água,ruído ao esvaziar,Falha no selamento da bomba,91000,uso em estrada
Bomba de água,vazamento no sistema,Mangueira de ligação danificada,93000,uso misto
Bomba de água,não circula água,Obstrução no caminho da água,94000,uso urbano
Bomba de água,mau funcionamento intermitente,Problemas na eletrônica de controle da bomba,95000,uso urbano
